,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas
Acanthurus Acanthurus monroviae,10.554985311641715,11.18007452338016,12.710745350976797,11.984651923290434,10.999427601002704,10.905385145172419,8.011846683569845,11.078329398632492,11.409639005440049,12.971440625624771,0.0,14.193772445853732,11.56586435677342,11.142903713176228,12.242246826014654,9.01093775503344,14.014017224586354,11.405004235995733,14.706669135445338,11.781186252658259,10.349928750879846,10.364293917103403,11.091185373335982,11.783799395691405,13.776237346478322,10.063048958590594,19.255502801955465,13.462923913543166,12.577863167081814,9.34018668481817,10.612330553731809,10.645579603939941,11.786445774998871,9.604112498750295,13.247219300995829,15.291923130110131,7.855499748531888,11.410254784650101,11.428501603741845,10.547043318686569,11.274665869070747,13.156041520188937,10.536353586370355,10.677730626002672,9.22792280659063,16.42780877463136,23.576039757285656,15.003028580214583
Acanthurus Acanthurus nigricans,14.919409952509577,17.371301729207122,18.167178444944874,17.028300228444557,13.213272358407998,13.333217543094797,12.801384841600703,16.996390673252648,15.691839752327787,16.330675037438503,14.193772445853732,0.0,14.674590130704873,15.11798440652466,18.55991337573784,13.270068424583462,17.506661870015243,15.858224267499494,16.43218352218437,13.678393490841879,14.496524489256329,15.035460125273447,15.480013891518645,15.376356385168952,16.262414484933725,14.865202689294916,22.468126883664056,17.86784405965466,16.942122222469283,15.573949243314125,16.452534877358598,16.989076896729678,15.315728502476697,14.7586911094633,16.383947751665755,18.981500669281644,15.034658276851506,13.51100490918658,17.253273475419302,15.274374247847724,17.783861040819012,15.183652736287863,16.080658061597067,16.401637685644932,15.873045695052877,17.75227232186307,24.489133870140975,19.397694046400247
Acanthurus Acanthurus nigricauda,11.204175861259463,11.960457579047883,13.680058966010549,11.89135086590274,8.974792334034044,12.585516899487228,8.729312068622836,15.339135187226033,13.014344088597847,13.053158821408063,11.56586435677342,14.674590130704873,0.0,9.093921992076277,13.64646153487101,9.05087358127773,14.761748580435613,13.867811461542967,16.523349901891923,9.057987654520183,10.873237073811067,10.377983584596967,9.695666117276401,13.293771075427804,14.572500040902788,13.0083789863015,20.288890710491444,13.433998985890678,12.220105210012205,9.721656655754346,12.612954921301123,12.947742753016595,11.643567111654015,11.635542036686228,15.866147975264724,12.767194038523714,11.697386258322759,10.94310328821391,11.802709221339892,9.947492524882085,14.36679957666125,16.183889281881587,10.229572782193548,12.378647292747575,11.592354862142491,15.751891897652156,25.181826567697424,16.74318673990185
Acanthurus Acanthurus nigrofuscus,11.955044822985228,12.55474960856112,13.056216238170997,12.198662247036122,11.089492357120227,13.399699729445894,10.512058155079867,15.129331992743314,12.219429800751639,12.807886617068146,11.142903713176228,15.11798440652466,9.093921992076277,0.0,12.53721149464551,9.652759451618865,14.208145091601518,14.797158335528758,17.74257136629859,9.469646344112192,9.39920665896858,11.491458560994422,9.867754439541061,12.603409109129023,14.77445075472761,14.29307370554674,20.72500406084989,15.1572426010552,13.772118351304401,8.636308627840405,12.555772068674907,12.775220424333133,11.47887132335883,11.940576749496193,15.731478289480519,12.779370997550254,11.598585303963793,11.018812499236557,13.208443386063866,11.416399846275029,14.291185581297514,15.126827866913915,11.063071998537318,12.176449650622782,12.654299027035941,16.16028182725545,25.56177256295845,18.29586953357036
Acanthurus Acanthurus nubilus,11.019300912800466,8.345731385486772,10.697828769480704,10.538972232971378,14.05581634145988,15.20551233617213,14.64132383816617,12.185838509824139,11.79952571725527,8.536843013628008,12.242246826014654,18.55991337573784,13.64646153487101,12.53721149464551,0.0,13.964029383621915,12.904763931728779,12.351727365888058,16.792510051036817,14.334060969927144,12.160869466330631,11.712029436120863,13.869633433875073,14.463199622356138,12.43316956670506,13.578764020197909,16.863306244408353,15.641039678222278,10.771497195968958,10.235148408057956,7.961135598529062,12.014748564840213,11.417699164499265,14.558180513107429,15.768604406981947,11.930359008555097,12.121881793706962,12.350758578337715,9.902088155317658,13.747139359807653,7.42377250796297,16.170492014708834,11.793719943040141,10.322147700078885,9.962226162511522,18.615709357822503,23.054894905369746,13.051643105814692
Acanthurus Acanthurus olivaceus,10.637469327723908,12.141630969749663,13.509147468651351,12.83969304593169,10.574625745446262,12.587566968720111,7.979670834706287,13.599273402386483,13.065448973810607,13.522630985720774,9.01093775503344,13.270068424583462,9.05087358127773,9.652759451618865,13.964029383621915,0.0,15.8512955518429,11.070404338564488,15.024190139320739,10.135439033765204,10.670866829515875,9.851344951433283,8.217215183892009,14.215599655917483,11.924672249545765,10.634035499943394,20.402519699395075,14.390021205036586,13.461755945237654,9.590876475837788,11.720960033973668,13.669141540730044,11.71644601407037,9.562250441830425,12.23898810116876,13.519560183246718,9.074748514667466,11.437621178317535,11.505767656273145,10.96807869229697,13.836219531697076,15.565747340300689,11.467793883072137,12.550096120817633,10.26071041427934,17.401308747272868,23.865339718523032,15.748256499096948
Acanthurus Acanthurus pyroferus,12.85099925231702,13.810866782368358,13.093436079421203,10.440122289819962,15.186427279210541,16.388210070731915,15.529062302725817,13.649871889088686,12.828635281735846,12.715819988056168,14.014017224586354,17.506661870015243,14.761748580435613,14.208145091601518,12.904763931728779,15.8512955518429,0.0,14.7942420086371,16.98874122218326,13.796330744457773,11.442618431958032,14.64309027021687,14.920807919896607,16.256349366159245,16.165841676603723,15.698232422320535,19.5257589887734,15.57394121382166,13.86591105647285,14.367865750041556,12.93734317627159,14.975004198272991,12.641792376089157,14.365599036579887,16.138102898110677,15.068102799752207,14.808194397620419,13.428042928282238,14.988152760038416,15.50104041575719,12.753106069204572,12.462650767112041,12.899713806461277,13.633571826349902,13.88728966325605,11.68593829852643,25.051580310250554,16.29824233422732
Acanthurus Acanthurus tennentii,11.10103641516194,8.961417478419158,9.66715140676356,11.452806605355152,14.651373396214057,14.260938851287818,12.859132382789978,11.86036951307906,13.754647982127972,12.047338699781404,11.405004235995733,15.858224267499494,13.867811461542967,14.797158335528758,12.351727365888058,11.070404338564488,14.7942420086371,0.0,18.261205728773216,13.533288468708061,11.12616435809882,11.445891401371123,12.417174291066743,15.548539592827817,13.486210055702736,12.000265872752088,19.601992406768474,16.443783578846812,12.176133910600358,12.59449317225442,10.893777116285243,16.17315681802559,12.643552441443452,12.10863303183678,13.059048376606803,15.619789544234163,8.901806592435756,13.728330307612158,9.391744978507198,14.661531144685803,11.649277756010305,16.66763299478368,12.01238043879148,13.004669906211397,11.091479378826646,19.826708206495127,24.052094264316516,10.257590572961185
Acanthurus Acanthurus_achilles,15.401695208320891,17.26410596400004,17.731029876815985,15.019936392110894,14.31616667102197,13.052270182520374,14.280732300788527,14.11798501545411,14.27617946277642,15.581567326774605,14.706669135445338,16.43218352218437,16.523349901891923,17.74257136629859,16.792510051036817,15.024190139320739,16.98874122218326,18.261205728773216,0.0,15.977302237154564,15.797422932951495,15.264198686969104,17.198850225452702,16.03844876654005,16.624902060749736,14.548806998180657,19.93039282497222,15.411898397761618,16.246174344516312,15.92051832538826,16.019880527883327,15.009592618264623,16.75420845728815,14.240537004932346,13.343934792233341,17.6489418693332,16.087375069374446,15.448901441878204,17.337370589649144,13.49194348211217,15.290853248478701,15.081325947208988,15.230859676996777,16.0442986815657,13.108368391706392,18.08594108497854,20.742097602230544,19.734411700859976
Acanthurus Acanthurus_triostegus,12.362940205970856,12.155754255960897,11.428640179954758,11.654469972736235,11.489528192295642,11.756559759814861,10.723508378002505,14.41265102467495,12.309270816422664,12.366886558701152,11.781186252658259,13.678393490841879,9.057987654520183,9.469646344112192,14.334060969927144,10.135439033765204,13.796330744457773,13.533288468708061,15.977302237154564,0.0,7.519156501504945,12.101153040248333,12.614581883899238,12.067204804031762,15.928814119498325,13.48979800603393,19.41075978824757,14.72701571019818,12.179642879048803,9.756018777951729,12.491766149249948,13.006883130941631,9.91934808752597,13.198879389274419,15.13245752061259,14.117049698369334,9.94663856737978,9.866699456612082,13.020644478012086,9.391262566542117,13.6659846847259,14.65015406159256,10.554056218159594,12.751650068601613,11.472580113664188,14.660764051960479,24.117195155115677,17.378932859892352
