,Acanthurus Acanthurus albimento,Acanthurus Acanthurus albipectoralis,Acanthurus Acanthurus bariene,Acanthurus Acanthurus blochii,Acanthurus Acanthurus chirurgus,Acanthurus Acanthurus chronixis,Acanthurus Acanthurus dussumieri,Acanthurus Acanthurus fowleri,Acanthurus Acanthurus gahhm,Acanthurus Acanthurus grammoptilus,Acanthurus Acanthurus guttatus,Acanthurus Acanthurus japonicus,Acanthurus Acanthurus leucocheilus,Acanthurus Acanthurus leucosternon,Acanthurus Acanthurus lineatus,Acanthurus Acanthurus maculiceps,Acanthurus Acanthurus mata,Acanthurus Acanthurus monroviae,Acanthurus Acanthurus nigricans,Acanthurus Acanthurus nigricauda,Acanthurus Acanthurus nigrofuscus,Acanthurus Acanthurus nubilus,Acanthurus Acanthurus olivaceus,Acanthurus Acanthurus pyroferus,Acanthurus Acanthurus sohal,Acanthurus Acanthurus tennentii,Acanthurus Acanthurus tractus,Acanthurus Acanthurus tristis,Acanthurus Acanthurus_achilles,Acanthurus Acanthurus_triostegus,Acanthurus Acanthurus_xanthopterus,Ctenochaetus Ctenochaetus binotatus,Ctenochaetus Ctenochaetus cyanocheilus,Ctenochaetus Ctenochaetus flavicauda,Ctenochaetus Ctenochaetus hawaiiensis,Ctenochaetus Ctenochaetus marginatus,Ctenochaetus Ctenochaetus striatus,Ctenochaetus Ctenochaetus strigosus,Ctenochaetus Ctenochaetus truncatus,Naso Naso annulatus,Naso Naso brachycentron,Naso Naso brevirostris,Naso Naso caesius,Naso Naso fageni,Naso Naso hexacanthus,Naso Naso lituratus,Naso Naso maculatus,Naso Naso minor,Naso Naso tergus,Naso Naso tonganus,Naso Naso tuberosus,Naso Naso unicornis,Naso Naso vlamingii,Paracanthurus Paracanthurus_hepatus,Prionurus Prionurus chrysurus,Prionurus Prionurus laticlavius,Prionurus Prionurus microlepidotus,Zebrasoma Zebrasoma desjardinii,Zebrasoma Zebrasoma flavescens,Zebrasoma Zebrasoma gemmatum,Zebrasoma Zebrasoma scopas,Zebrasoma Zebrasoma veliferum,Zebrasoma Zebrasoma xanthurum
Acanthurus Acanthurus guttatus,5.647215554913701,5.082943278858304,4.0646512335956,5.273629698719442,5.317826833910511,8.683628264279083,3.97561951040164,5.282664593286635,10.16872111065359,5.282914705356548,0.0,7.477025038058484,4.302225877330879,9.415088157131255,5.133987409313622,6.991381676747257,5.555117188137997,6.287528798401655,5.33668462080548,5.378618976570909,6.231811448995683,8.034773055039446,4.716462473713074,9.373916750569462,7.573016490859952,4.936535723793108,8.133945577341704,4.927857969295171,10.30139867134112,5.67806676000745,4.510078010792256,5.2792459699674765,5.642858500909789,9.429316895660907,5.619261534791414,9.843063103738443,7.842310698904934,8.692207977099127,7.4553933050926675,7.265019301020203,6.8213026663268534,5.694381730594979,8.901726185291071,8.653437872012006,5.519626444390858,7.9467524472178175,7.456949434453795,5.874825402043765,7.571133094522864,7.666838918763144,6.160590384654216,6.94910730589106,8.645500709546631,10.845514194940133,4.935308446972575,5.9107558092655585,8.717394195161855,5.120002169210464,11.728886235068044,11.910040025944443,5.862498473231744,5.268425643101468,10.184146296599543
Acanthurus Acanthurus japonicus,9.501190675782828,10.069429302272463,7.486988399685544,8.858304656003304,7.6945861361858,9.903748412221537,7.890592608524024,7.1210248234593125,11.396647267777501,6.966528033307153,7.477025038058484,0.0,7.21784703567953,10.180518234678589,6.152335482808966,9.876361500658259,7.217597444488224,6.780330480583522,6.702726542381795,10.273255312480286,9.741436659671281,10.578136134245478,8.898978909944399,12.476337756565473,6.871856109580485,7.160787700211564,9.434581449218847,8.46599655539219,9.931800649760508,8.529838233524345,8.124263226196675,7.074047351421661,10.01423717346856,7.221364163293493,9.211836307823964,11.266827008492033,9.17914290378704,6.275286012448887,8.584193567435877,10.426664515087133,9.957360829370014,9.418732831037964,10.682099686068227,10.826138378732892,8.2875095353354,7.965721987335636,12.399034511897726,6.571316450201735,9.469477796694138,10.093788217325185,9.570305713264165,8.570888679412993,10.232836117058662,12.61254039742615,8.535847843431617,9.658459949767252,10.3026014657153,7.3035603746336895,13.731682135051841,7.422704483634898,6.997751102740803,8.824283621568437,9.860824146782008
Acanthurus Acanthurus leucocheilus,4.999867147855876,5.560986035762555,5.720673334533441,5.045517992762365,5.2841731626266695,9.682185142022195,5.679727334679651,7.091924311520262,9.702331913625073,3.7885474452805505,4.302225877330879,7.21784703567953,0.0,8.678842954115868,5.850362856223008,8.618818419562876,5.6532119382854455,4.962406913521955,4.545038776598313,6.3867365679151655,7.937103803519712,8.824607036985956,5.439543749830333,10.540571383250988,4.830189125842713,5.686093209696069,8.91841231189178,7.360511561816546,9.23060888415178,5.684741006109636,5.678532390072622,6.2571676858391525,8.755000637642608,9.023942094032773,7.736502353939423,9.871886601662053,7.538417206313107,7.090287405331003,8.023084644941314,5.816307392890807,7.148940062884985,5.8712454695912815,9.024836707567905,8.609896227075199,3.8841647288845254,8.181832202953126,8.697909879094953,4.944501924339984,7.976711533924542,7.51995322934363,5.849675987780049,4.920096557278893,8.521878702886614,9.904255678644223,5.861582570805573,4.701737305624514,9.115249796390007,5.149582172704443,12.51189663026857,10.624250551311281,6.601798204889006,5.735058167122761,10.24475991019617
Acanthurus Acanthurus leucosternon,7.8660726884550805,10.345013183994515,7.041042547167236,7.314524839856814,8.122032466504162,9.283643467395777,7.503068993947606,9.140775152218817,7.950546468423884,8.62891094288422,9.415088157131255,10.180518234678589,8.678842954115868,0.0,6.623146751708429,9.968023263447199,7.310848192011775,7.150289075633262,10.494130673816324,10.738308545414833,11.157720097732271,8.45597446002171,9.390612540123085,10.769109787766196,9.680505295888805,8.471594184952721,10.65867832871855,9.656490533294487,8.40037437448881,9.623747371989761,8.452198984029575,9.395437441061567,11.467602039704742,11.188722438429068,10.321833492214607,8.209913290770075,7.909158273928313,10.47902978453388,9.618873103607404,8.7752356918781,9.615316879230893,8.277006834578078,9.333395128278068,11.075569417904374,8.697964363409508,7.869588710278424,11.737638919847194,8.247342146359786,10.449099274551461,9.63843536995881,9.758632560074233,8.61211118088756,6.541536735133381,6.95098541009275,10.318562144142216,8.571410135051368,9.590293815638631,5.637139378462081,11.483458466299227,12.554760617106458,9.94550958876472,9.451673410308258,10.06274923836468
Acanthurus Acanthurus lineatus,6.5843700859295256,8.085767113152727,3.7765098150739576,5.853163537174064,5.017013282890044,6.862204354681392,4.015744049623914,4.880073359655244,8.432029630389147,6.459382588047435,5.133987409313622,6.152335482808966,5.850362856223008,6.623146751708429,0.0,7.758150866114784,4.339666518929639,5.0218877985568,6.804078338710044,8.45711889269136,8.166637171735912,7.301225303467047,7.461930419712409,8.353592746053716,7.120237284603885,5.558947455027628,7.602732955720481,5.6185788442140785,8.522012195780734,6.919069508480284,4.703665654997298,5.725337979504934,8.162792425030306,8.274695476660408,7.6787836657016335,8.558647964860713,7.176205021586297,7.791961083441333,7.02981546877811,7.800572476409939,7.453767287336834,6.367450448653559,7.822848484066127,8.944024807609601,6.464809388442004,6.663449084757652,10.00296135146292,5.810884561688956,7.7781084517704135,7.48692281647464,7.887977866849277,7.255441769032953,6.335856057682381,8.442366464851899,7.37253838240599,6.769610496285359,7.624375164401032,3.7516895172908944,10.240212258015166,10.92572348523949,6.219571920319198,7.425563969373332,8.650617978900444
Acanthurus Acanthurus maculiceps,8.167236197297877,7.0006408562809375,7.001056305314461,6.2318519318214936,7.912940384497848,10.740050348884845,7.501490125639026,7.246551668987147,9.542449906803848,8.997539223760088,6.991381676747257,9.876361500658259,8.618818419562876,9.968023263447199,7.758150866114784,0.0,6.039638452219349,8.473796460522886,9.000397523488918,7.575630298445398,4.840260116197177,4.479605396492487,5.845714526777673,10.629447131521399,10.381640736247494,7.423592115361428,7.106071038308323,7.467161570029472,11.741455596335589,7.965461303256271,7.8730231157871335,6.190146203883195,5.152568043517167,10.90381829037597,3.9596496361130225,9.108710680338763,8.779179088148881,10.644285389712733,10.164165373187652,8.556213359742884,6.148482242213878,5.377796415549527,9.196514304808392,8.154667653474934,8.925797496975061,9.023009212844713,6.522767320925492,8.759534171892767,6.780481441723074,8.16614762616087,5.6961704560304,10.090442371342585,7.9950561951277725,11.556537996295646,8.901102932270984,7.8905617416336415,8.6591609516428,6.897801047786739,12.723787423946696,13.370253064796067,8.880932825749435,5.544932496491607,11.35871164322027
Acanthurus Acanthurus mata,5.803993321006323,7.123995073180021,4.786025729217058,4.363820684157347,4.49545781696721,8.513446339377158,5.086071243323772,5.183913055124257,6.742546608807106,6.059725614359189,5.555117188137997,7.217597444488224,5.6532119382854455,7.310848192011775,4.339666518929639,6.039638452219349,0.0,5.69389726198392,7.341503328542732,7.442224459496065,7.486513088383857,5.8175703885775905,6.383037002888952,9.282505975326414,7.4038182819967675,4.639368351041218,6.8533437898568055,6.138018448112339,9.251939374120752,6.2430003103528176,5.385544059930457,4.581888338597989,7.90881372163503,8.077417305097912,6.1341277766286515,7.919934185955901,5.366710585166579,7.691718029446844,7.735969104211466,6.119505047055634,5.994949387731918,4.942257964159109,6.302198017899352,7.575762191571812,6.117210545219481,6.401114312020532,8.541466288709236,5.814773606381113,6.040798963860604,6.600820597095861,5.798456793791744,7.10352554969724,4.6832627069361115,9.136306785268127,7.200041302144664,5.119295178693304,7.198293311228895,3.3953336306352213,11.469063397042774,11.207560124581471,6.493491918924702,5.860272994987335,8.825627068312462
Acanthurus Acanthurus monroviae,6.338877206676837,7.317383966560194,5.647686583028758,4.8770928827686735,5.811632546236786,9.307104483830752,6.035165974149585,6.839671529828516,9.178408653587585,5.786016866381865,6.287528798401655,6.780330480583522,4.962406913521955,7.150289075633262,5.0218877985568,8.473796460522886,5.69389726198392,0.0,6.698119346111284,8.415068002408011,8.420437838853942,8.090110544482453,6.601024085514396,10.263367824642602,5.165476515714276,6.282940599380935,8.911876555905632,7.986999467894683,8.979222035945307,7.280696381210689,6.050043055465781,7.066290504245283,9.149871590634095,8.429601128835422,7.916834367155992,9.23618439663057,7.257691109937668,6.947738086653046,8.15619827802782,6.762572663840955,7.244781049714997,5.600734939169448,8.457630914636223,9.665639686814291,5.637697021444195,7.439795196784169,9.221618691111285,4.8739344814663115,8.474143949579062,7.822823715259132,7.131960080412906,6.500878078555935,7.4732135786005,8.26599885066048,7.980423102629565,7.118279495676944,8.342456627609229,4.01026682872147,11.58666328137983,9.855222375757345,6.751335658146089,6.929655872741845,10.127096309867474
Acanthurus Acanthurus nigricans,7.164832743295006,7.621380141824746,6.994186611907528,7.769920165859025,7.740721088507276,10.062030352495471,7.453285181441701,8.467518025169415,11.15473374368116,6.2965785633945925,5.33668462080548,6.702726542381795,4.545038776598313,10.494130673816324,6.804078338710044,9.000397523488918,7.341503328542732,6.698119346111284,0.0,7.4557958339324975,7.921958101053525,10.060767780521681,6.653482109554775,11.76476411850962,6.89048550361821,7.23741380484349,9.735467347374835,8.603521034799503,10.278170466343472,6.95232086510941,7.845170947740803,6.477501848957878,9.157142148993513,8.582348169094118,8.241590645643065,10.591547394027108,9.20729233728165,7.658386014460408,8.448928766391013,9.041547780129294,8.881906705936673,7.946632658457179,10.142280257501243,9.759601012317002,6.854669633682973,9.364420319029364,10.194987157984778,6.882181366570427,8.772891294733661,8.686743401603138,8.203789026072844,7.715565226719781,10.33408014337244,11.270267578913293,7.381514207628084,7.967692947762514,10.428778004179698,7.2482139975605335,12.66784979248436,11.085928442371449,7.789370069566619,7.227889495543557,10.87650248953192
Acanthurus Acanthurus nigricauda,5.672319224621539,5.169549178083142,7.058599834895835,5.791586348347448,7.0313808675289815,11.122177133760971,6.010240167335218,7.877247284819627,11.293428386551547,6.660380224776925,5.378618976570909,10.273255312480286,6.3867365679151655,10.738308545414833,8.45711889269136,7.575630298445398,7.442224459496065,8.415068002408011,7.4557958339324975,0.0,6.127930063023048,9.129850995106565,4.681167197148009,10.404012826428175,9.437432081922262,7.055148686164467,10.047636795989652,7.598867674908661,12.395242163046058,5.438856788502614,6.8526068566391745,7.688074324081317,6.838742801101346,11.742439733099246,6.868141837678402,11.26017359934764,9.944377937465282,10.419553978855763,10.153411496842915,7.60375167813642,8.01392032386694,6.930914275675684,10.701546309810933,8.712453012892162,7.6598215711519915,10.457606600984457,6.280467634281931,7.9703426611683525,7.515889655301944,7.962174899866255,6.130357876407153,8.038873880312249,10.064916698596425,11.950061916867698,5.691262385038506,6.111591044757443,10.14073486591458,7.265906624876897,10.8555117047576,14.067642862693177,8.591903025458365,4.6228609777557725,12.213695519717708
