,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_nigrofuscus,1.645768,0.659744,3.765106,1.510545,0.989092,2.538095,2.428903,3.312928,1.842199,2.833813,1.680196,1.376229,1.073905,2.102237,0.000000,2.199675,2.088034,2.392383,1.662906,3.165011,1.202764,2.218716,1.629185,2.027358,1.799542,2.463750,3.204232,0.914744,2.256439,2.434620,3.394529,2.875549,2.873884,3.230680,2.903458,2.160929,3.599315,2.815718,3.394775,1.908429,1.272980,1.482904,1.404590,3.030412,0.746535,1.689919,1.145146,1.535290,1.887366
Acanthurus_nubilus,3.272508,1.694737,4.681239,2.123243,1.524333,3.167166,2.041270,4.006645,3.059528,2.202020,1.114519,2.775679,2.913523,1.878292,2.199675,0.000000,3.338072,1.797162,0.837537,2.934024,2.241179,1.639780,3.377100,1.066408,1.893082,2.620248,4.466603,2.729964,3.587053,2.796280,3.199162,2.841441,4.007846,2.099314,4.254189,3.981716,4.807096,3.793319,4.498594,2.924963,1.859573,3.191942,3.458311,2.414395,1.991858,2.327927,1.665955,2.558070,1.271139
Acanthurus_olivaceus,3.256380,2.535723,2.344097,1.418504,2.712296,1.739750,4.121511,1.832965,3.614496,4.391361,2.365159,0.753250,2.317243,2.309272,2.088034,3.338072,0.000000,3.997374,2.614315,2.622409,1.333186,3.702248,0.978410,3.156655,1.606906,1.649731,1.786918,2.527362,0.732577,1.280186,2.568341,2.138183,1.807633,3.414635,1.623054,1.301094,2.056958,1.915609,1.891036,1.333358,3.076101,2.833483,2.124729,2.684441,1.926051,1.585287,2.707490,2.099959,3.547377
Acanthurus_pyroferus,2.730657,1.873169,5.857462,3.196734,1.697048,4.426605,0.324211,5.229628,2.207949,0.495380,2.132473,3.373423,3.034972,3.301167,2.392383,1.797162,3.997374,0.000000,2.260593,4.533095,3.115091,0.393837,3.685164,1.193271,3.053943,3.825521,5.422841,2.345415,4.387694,3.987421,4.755547,4.311477,5.060183,3.879079,5.150698,4.329498,5.745351,4.937153,5.504378,3.963826,1.436211,2.484210,3.616719,4.073657,2.238515,3.494243,1.342152,2.275563,0.675000
Acanthurus_tennentii,3.002390,1.344989,3.871292,1.313715,1.306860,2.372223,2.465261,3.225871,2.964149,2.716565,0.748739,2.047475,2.391131,1.242083,1.662906,0.837537,2.614315,2.260593,0.000000,2.284152,1.466513,2.045498,2.711544,1.394272,1.187959,1.938478,3.637883,2.380603,2.795297,2.072596,2.557961,2.140749,3.172449,1.799087,3.433217,3.276264,4.016964,2.968301,3.707467,2.105362,1.818036,2.916053,2.837011,1.874384,1.525158,1.507215,1.569996,2.267722,1.637334
Acanthurus_triostegus,4.585889,3.237228,2.290774,1.769114,3.303591,1.275463,4.739031,1.713845,4.816709,4.978209,2.545839,2.561532,3.540716,1.559651,3.165011,2.934024,2.622409,4.533095,2.284152,0.000000,2.129499,4.285586,3.246780,3.526253,1.792494,1.546812,2.570045,3.992053,2.415000,1.462343,0.543289,0.641104,2.096449,1.400303,2.586182,3.483918,2.930291,1.807723,2.572197,1.766399,3.865024,4.553946,3.633068,0.697345,3.091736,1.554283,3.631298,3.800587,3.917824
Acanthurus_xanthopterus,2.579167,1.459721,2.767227,0.570099,1.610789,1.426519,3.235954,2.199351,2.854754,3.575433,1.533290,0.831401,1.575933,1.235591,1.202764,2.241179,1.333186,3.115091,1.466513,2.129499,0.000000,2.878722,1.382524,2.340003,0.964432,1.579779,2.359201,1.912901,1.393287,1.312617,2.332375,1.835837,2.017887,2.485057,2.081828,1.852647,2.681700,1.881031,2.416834,0.872324,2.094678,2.450638,1.739046,2.043534,1.089346,0.616948,1.875305,1.957850,2.544365
Ctenochaetus_binotatus,2.761572,1.745881,5.595666,2.922720,1.599771,4.191327,0.671108,4.954868,2.304372,0.728520,1.816908,3.090825,2.951283,3.114586,2.218716,1.639780,3.702248,0.393837,2.045498,4.285586,2.878722,0.000000,3.451606,0.862071,2.751294,3.495327,5.163266,2.250651,4.124849,3.685361,4.475745,4.026938,4.811226,3.699335,4.911920,4.117339,5.504147,4.705091,5.260688,3.732926,1.429092,2.403322,3.497075,3.829765,2.035869,3.262326,1.138325,1.977912,0.640664
Ctenochaetus_cyanocheilus,2.403918,2.139987,2.938150,1.762449,2.333312,2.218132,3.735987,2.555889,2.836512,4.076671,2.535934,0.916522,1.563012,2.524390,1.629185,3.377100,0.978410,3.685164,2.711544,3.246780,1.382524,3.451606,0.000000,3.107123,2.052282,2.405621,2.251228,1.782002,1.196888,2.053379,3.320577,2.852165,2.257037,3.829308,1.925243,0.708121,2.417970,2.328565,2.320860,1.616723,2.572204,2.037139,1.312467,3.260847,1.534946,1.858378,2.352497,1.818983,3.274423
Ctenochaetus_flavicauda,3.005656,1.601566,4.952663,2.278330,1.467216,3.543963,1.479899,4.264767,2.710030,1.536639,1.040415,2.594977,2.852687,2.464105,2.027358,1.066408,3.156655,1.193271,1.394272,3.526253,2.340003,0.862071,3.107123,0.000000,2.006795,2.732972,4.599015,2.336098,3.586171,2.945463,3.682421,3.255264,4.237682,2.978914,4.385061,3.789384,4.941959,4.116606,4.673574,3.163955,1.596954,2.623032,3.359740,3.040633,1.731160,2.650333,1.100708,1.782716,0.923085
Ctenochaetus_hawaiiensis,3.310521,1.871480,2.988379,0.561340,1.947073,1.671405,3.259511,2.273778,3.438380,3.475186,1.005885,1.261647,2.455561,1.233191,1.799542,1.893082,1.606906,3.053943,1.187959,1.792494,0.964432,2.751294,2.052282,2.006795,0.000000,0.913944,2.747669,2.537985,1.879005,0.965329,1.870322,1.385296,2.393956,2.038160,2.610163,2.592775,3.120793,2.270932,2.817619,1.438889,2.449413,3.011369,2.664686,1.522948,1.551676,0.985026,2.024527,2.033464,2.519137
Ctenochaetus_striatus,4.041299,2.667296,2.565887,1.063276,2.798776,1.636512,4.046316,1.882449,4.224976,4.218437,1.719876,1.557892,3.121116,1.845611,2.463750,2.620248,1.649731,3.825521,1.938478,1.546812,1.579779,3.495327,2.405621,2.732972,0.913944,0.000000,2.429723,3.240118,1.858784,0.784996,1.377417,0.931975,2.103666,2.261558,2.462130,2.828839,2.945781,2.081255,2.641484,1.617231,3.297280,3.670893,3.156235,1.524524,2.354563,1.387682,2.822363,2.604052,3.311160
Ctenochaetus_strigosus,4.261014,3.694103,0.852928,2.372880,3.909546,1.561780,5.532264,1.128059,4.769504,5.865490,3.662657,2.148992,3.164183,2.957801,3.204232,4.466603,1.786918,5.422841,3.637883,2.570045,2.359201,5.163266,2.251228,4.599015,2.747669,2.429723,0.000000,3.754889,1.158924,2.047646,2.518798,2.311351,0.646330,3.795808,0.496304,1.964681,0.979155,0.978864,0.873925,1.604267,4.341641,4.142794,2.741827,3.034699,3.300243,2.171286,4.131093,3.773031,4.864663
Ctenochaetus_tominiensis,0.922776,1.101100,4.389802,2.316098,1.270238,3.250791,2.279601,3.964820,1.125148,2.716076,2.320395,1.943007,1.006849,2.789656,0.914744,2.729964,2.527362,2.345415,2.380603,3.992053,1.912901,2.250651,1.782002,2.336098,2.537985,3.240118,3.754889,0.000000,2.754100,3.126058,4.215693,3.700901,3.532480,4.004545,3.401048,2.259199,4.015521,3.495474,3.869602,2.597310,1.147674,0.641034,1.397477,3.820677,1.066789,2.470726,1.241070,1.511845,2.036111
Ctenochaetus_truncatus,3.352474,2.726904,1.758644,1.531682,2.918840,1.301110,4.494449,1.390234,3.799694,4.817955,2.730192,1.101184,2.282019,2.250879,2.256439,3.587053,0.732577,4.387694,2.795297,2.415000,1.393287,4.124849,1.196888,3.586171,1.879005,1.858784,1.158924,2.754100,0.000000,1.378749,2.424189,2.041645,1.179083,3.357777,0.912007,1.180107,1.465142,1.279211,1.279270,0.948988,3.321720,3.135662,1.986953,2.629423,2.220370,1.449477,3.076096,2.675326,3.870499
Naso_annulatus,3.853093,2.651619,2.163237,1.013814,2.750253,1.136028,4.179508,1.385437,4.106786,4.406986,1.964007,1.398706,2.837563,1.547317,2.434620,2.796280,1.280186,3.987421,2.072596,1.462343,1.312617,3.685361,2.053379,2.945463,0.965329,0.784996,2.047646,3.126058,1.378749,0.000000,1.379529,0.978002,1.802841,2.293571,1.990324,2.392867,2.348073,1.701486,2.035500,1.183474,3.247979,3.577908,2.862327,1.462872,2.207717,1.105071,2.875511,2.646624,3.456438
