,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,1.380485,1.660184,3.846187,2.547956,1.190889,3.421625,3.086002,1.791575,2.157986,1.216448,0.000000,1.154033,0.852475,1.067539,3.192565,0.937505,2.199023,3.803036,1.909389,2.170038,1.254160,1.835526,1.202102,1.104415,2.001977,2.268147,1.897396,3.238389,3.652755,3.891396,2.713536,2.354393,1.874482,2.910925,3.516794,1.637049,4.012881,2.664608,1.719467,2.280534,0.382936,3.547896,3.705135,2.932363,1.871269,3.156331,3.686855,3.548631,0.924418
Acanthurus_monroviae,1.569480,0.617419,2.704135,1.652499,0.916939,2.367900,2.304999,1.009429,1.192342,2.097097,1.154033,0.000000,0.727708,0.834652,2.170696,1.814145,1.159504,2.665014,2.086045,2.054668,1.776594,0.829576,1.398810,0.524359,2.389159,1.573782,1.931746,2.156679,2.782446,2.943165,1.786890,1.202033,0.861949,1.882300,2.397320,0.863241,2.888320,1.883907,2.132068,1.810251,1.235767,2.507385,2.566566,1.780888,2.533138,2.154506,2.567524,2.431482,1.643432
Acanthurus_nigricans,1.853261,0.981827,3.283265,1.794418,1.397829,3.045384,2.416689,1.041804,1.919852,1.430504,0.852475,0.727708,0.000000,0.265948,2.533640,1.167604,1.604249,3.257265,1.431848,1.521014,1.050690,1.501987,0.686761,0.773089,1.740768,1.417286,1.298707,2.842224,2.892998,3.112826,2.374934,1.800250,1.117153,2.431137,2.893889,1.538368,3.522766,1.826358,1.410586,1.605174,0.725670,3.199125,3.120053,2.298496,1.810287,2.495857,3.196817,3.049517,0.957446
Acanthurus_nigricauda,2.102130,0.912572,3.221765,1.594422,1.568301,3.037157,2.196669,0.847174,2.001771,1.505265,1.067539,0.834652,0.265948,0.000000,2.378927,1.269379,1.503617,3.201519,1.253654,1.285170,1.029457,1.528322,0.595445,0.794660,1.590689,1.239700,1.122296,2.864328,2.670092,2.906825,2.333515,1.780846,1.023679,2.352742,2.790080,1.689062,3.494255,1.608699,1.336801,1.347466,0.928280,3.203803,3.043793,2.238617,1.770845,2.334365,3.159048,3.003249,1.031148
Acanthurus_nigrofuscus,3.583426,1.616173,1.414253,0.921663,2.706623,1.698529,0.941431,1.545217,2.040840,3.856234,3.192565,2.170696,2.533640,2.378927,0.000000,3.634102,1.023842,1.431814,3.032323,2.618956,3.309242,1.704274,2.847304,2.114482,3.353296,1.929688,2.896897,1.891931,1.081669,1.118062,1.336545,1.361800,1.574479,0.869640,0.751690,2.439981,1.868189,1.495851,3.456524,1.752104,3.227754,1.914420,1.159774,1.144694,3.935217,0.100004,1.523171,1.341651,3.395478
Acanthurus_nubilus,2.193074,2.145232,4.450552,2.830340,2.112491,4.169142,3.343294,2.097770,2.960849,0.292798,0.937505,1.814145,1.167604,1.269379,3.634102,0.000000,2.737597,4.423499,1.396351,1.830184,0.593006,2.581465,0.913230,1.753713,1.441184,2.296746,1.441896,3.964184,3.842767,4.111838,3.434744,2.960652,2.260682,3.547914,4.049949,2.464105,4.680543,2.742456,0.984997,2.334134,0.638688,4.314140,4.286290,3.461027,0.995079,3.584222,4.355129,4.207972,0.265960
Acanthurus_olivaceus,2.585914,0.675269,1.824425,0.816247,1.716246,1.680258,1.345155,0.808656,1.267578,2.986800,2.199023,1.159504,1.604249,1.503617,1.023842,2.737597,0.000000,1.799582,2.444502,2.167023,2.509941,0.770388,2.054381,1.126882,2.759051,1.506966,2.305517,1.690204,1.799528,1.938669,1.024424,0.727984,0.792184,0.871464,1.357713,1.506552,2.135078,1.394256,2.751187,1.443061,2.265113,1.882361,1.625874,1.056792,3.206247,1.009078,1.757387,1.577454,2.518794
Acanthurus_pyroferus,3.666263,2.290699,0.100004,2.127122,2.982670,0.863178,2.373081,2.525472,1.890843,4.686280,3.803036,2.665014,3.257265,3.201519,1.431814,4.423499,1.799582,0.000000,4.137086,3.780123,4.216829,2.028516,3.748016,2.814516,4.515000,2.782779,3.927139,0.969242,2.332391,2.126030,1.597385,1.481433,2.239242,1.241555,0.696428,2.466547,0.447217,2.558847,4.424713,3.043062,3.892168,0.951347,0.291549,1.053723,4.933214,1.529742,0.300011,0.360582,4.210685
Acanthurus_tennentii,3.202018,1.999418,4.137093,2.127658,2.748935,4.108530,2.488173,1.641574,3.225027,1.397176,1.909389,2.086045,1.431848,1.253654,3.032323,1.396351,2.444502,4.137086,0.000000,0.538480,0.819488,2.696598,0.794184,1.927773,0.600647,1.614075,0.407120,3.985701,2.869687,3.183611,3.327298,2.859417,1.996545,3.274302,3.600039,2.942614,4.491725,1.864146,0.629797,1.393778,1.635410,4.297681,3.925612,3.176410,1.011566,2.962254,4.151545,3.981863,1.189092
Acanthurus_triostegus,3.370379,1.810478,3.770858,1.710934,2.813097,3.837181,2.048175,1.379007,3.099631,1.880205,2.170038,2.054668,1.521014,1.285170,2.618956,1.830184,2.167023,3.780123,0.538480,0.000000,1.253547,2.558382,1.031482,1.909597,1.008730,1.259027,0.518590,3.735792,2.359878,2.670064,3.094344,2.610838,1.753929,2.970699,3.206893,2.912455,4.158055,1.389905,1.099873,1.004825,1.928149,4.035343,3.550251,2.844258,1.545862,2.547333,3.823506,3.652277,1.590728
