,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,33.113137,13.254378,8.116408,25.369696,13.254378,33.113137,33.113137,18.040788,33.113137,33.113138,0.000000,25.369696,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,10.332250,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_monroviae,33.113137,25.369696,25.369696,21.409602,25.369696,33.113137,33.113137,25.369696,33.113137,33.113138,25.369696,0.000000,33.113137,25.369696,33.113138,27.765277,25.369697,27.765277,25.369697,36.145900,25.369696,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_nigricans,6.770574,33.113137,33.113137,33.113137,33.113137,29.083268,4.032128,33.113137,8.400332,31.611989,33.113137,33.113137,0.000000,33.113137,31.611989,33.113138,33.113138,33.113138,33.113138,36.145899,33.113137,33.113138,33.113137,33.113138,33.113138,33.113138,33.113138,33.113137,33.113138,115.352000,115.351999,115.352000,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.352000,77.814794,88.167636,88.167635,77.814793,77.814793,77.814794,77.814793,77.814793
Acanthurus_nigricauda,33.113137,18.040788,18.040788,25.369696,18.040788,33.113137,33.113137,13.962134,33.113137,33.113138,18.040788,25.369696,33.113137,0.000000,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,18.040788,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_nigrofuscus,31.611989,33.113138,33.113138,33.113138,33.113138,31.611989,31.611989,33.113138,31.611989,27.381092,33.113138,33.113138,31.611989,33.113138,0.000000,33.113139,33.113139,33.113139,33.113139,36.145900,33.113138,33.113139,33.113138,33.113139,33.113139,33.113139,33.113139,33.113138,33.113139,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_nubilus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,0.000000,27.765278,14.029580,27.765278,36.145901,27.765277,16.491504,16.491503,16.491504,19.279806,19.279806,16.491504,16.491503,16.491504,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Acanthurus_olivaceus,33.113138,22.463695,22.463695,25.369697,22.463695,33.113138,33.113138,22.463695,33.113138,33.113139,22.463695,25.369697,33.113138,22.463695,33.113139,27.765278,0.000000,27.765278,6.124456,36.145901,22.463695,27.765278,27.765277,27.765278,27.765278,27.765278,27.765278,27.765277,27.765278,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Acanthurus_pyroferus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,14.029580,27.765278,0.000000,27.765278,36.145901,27.765277,16.491504,16.491503,16.491504,19.279806,19.279806,16.491504,16.491503,16.491504,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Acanthurus_tennentii,33.113138,22.463695,22.463695,25.369697,22.463695,33.113138,33.113138,22.463695,33.113138,33.113139,22.463695,25.369697,33.113138,22.463695,33.113139,27.765278,6.124456,27.765278,0.000000,36.145901,22.463695,27.765278,27.765277,27.765278,27.765278,27.765278,27.765278,27.765277,27.765278,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Acanthurus_triostegus,36.145899,36.145900,36.145900,36.145900,36.145900,36.145899,36.145899,36.145900,36.145899,36.145900,36.145900,36.145900,36.145899,36.145900,36.145900,36.145901,36.145901,36.145901,36.145901,0.000000,36.145900,36.145901,36.145900,36.145901,36.145901,36.145901,36.145901,36.145900,36.145901,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Acanthurus_xanthopterus,33.113137,13.254378,10.332250,25.369696,13.254378,33.113137,33.113137,18.040788,33.113137,33.113138,10.332250,25.369696,33.113137,18.040788,33.113138,27.765277,22.463695,27.765277,22.463695,36.145900,0.000000,27.765277,27.765276,27.765277,27.765277,27.765277,27.765277,27.765276,27.765277,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Ctenochaetus_binotatus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,16.491504,27.765278,16.491504,27.765278,36.145901,27.765277,0.000000,14.719857,7.559662,19.279806,19.279806,7.559662,13.660115,7.559662,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Ctenochaetus_cyanocheilus,33.113137,27.765276,27.765276,27.765276,27.765276,33.113137,33.113137,27.765276,33.113137,33.113138,27.765276,27.765276,33.113137,27.765276,33.113138,16.491503,27.765277,16.491503,27.765277,36.145900,27.765276,14.719857,0.000000,14.719857,19.279805,19.279805,14.719857,14.719856,14.719857,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Ctenochaetus_flavicauda,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,16.491504,27.765278,16.491504,27.765278,36.145901,27.765277,7.559662,14.719857,0.000000,19.279806,19.279806,2.740236,13.660115,0.011474,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Ctenochaetus_hawaiiensis,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,19.279806,27.765278,19.279806,27.765278,36.145901,27.765277,19.279806,19.279805,19.279806,0.000000,7.755964,19.279806,19.279805,19.279806,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Ctenochaetus_striatus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,19.279806,27.765278,19.279806,27.765278,36.145901,27.765277,19.279806,19.279805,19.279806,7.755964,0.000000,19.279806,19.279805,19.279806,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Ctenochaetus_strigosus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,16.491504,27.765278,16.491504,27.765278,36.145901,27.765277,7.559662,14.719857,2.740236,19.279806,19.279806,0.000000,13.660115,2.740236,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Ctenochaetus_tominiensis,33.113137,27.765276,27.765276,27.765276,27.765276,33.113137,33.113137,27.765276,33.113137,33.113138,27.765276,27.765276,33.113137,27.765276,33.113138,16.491503,27.765277,16.491503,27.765277,36.145900,27.765276,13.660115,14.719856,13.660115,19.279805,19.279805,13.660115,0.000000,13.660115,115.352001,115.352000,115.352001,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352001,77.814795,88.167637,88.167636,77.814794,77.814794,77.814795,77.814794,77.814794
Ctenochaetus_truncatus,33.113138,27.765277,27.765277,27.765277,27.765277,33.113138,33.113138,27.765277,33.113138,33.113139,27.765277,27.765277,33.113138,27.765277,33.113139,16.491504,27.765278,16.491504,27.765278,36.145901,27.765277,7.559662,14.719857,0.011474,19.279806,19.279806,2.740236,13.660115,0.000000,115.352002,115.352001,115.352002,115.352002,115.352001,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352002,77.814796,88.167638,88.167637,77.814795,77.814795,77.814796,77.814795,77.814795
Naso_annulatus,115.352000,115.352001,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352000,115.352001,115.352001,115.352001,115.352000,115.352001,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352001,115.352002,115.352001,115.352002,115.352002,115.352002,115.352002,115.352001,115.352002,0.000000,6.666111,14.264336,19.377172,6.666111,19.377172,22.662864,40.665120,6.666111,6.666111,22.662864,16.625798,115.352002,115.352002,115.352001,115.352001,115.352001,115.352002,115.352001,115.352001
Naso_brachycentron,115.351999,115.352000,115.352000,115.352000,115.352000,115.351999,115.351999,115.352000,115.351999,115.352000,115.352000,115.352000,115.351999,115.352000,115.352000,115.352001,115.352001,115.352001,115.352001,115.352000,115.352000,115.352001,115.352000,115.352001,115.352001,115.352001,115.352001,115.352000,115.352001,6.666111,0.000000,14.264335,19.377171,4.733168,19.377171,22.662863,40.665119,5.261072,5.261072,22.662863,16.625797,115.352001,115.352001,115.352000,115.352000,115.352000,115.352001,115.352000,115.352000
