,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_triostegus,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_tuberosus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Acanthurus_mata,1.005390,2.009145,1.414260,2.184203,2.515040,3.370277,1.529730,3.340269,2.127219,2.061581,0.000000,1.926342,1.457808,2.406362,2.283183,2.444514,2.562358,1.950137,2.664859,0.514783,1.784685,1.969785,1.656854,2.247240,2.539084,3.410860,2.282551,1.490456,1.523165,2.406342,3.442613,1.837297,2.974883,0.412326,2.969363,2.158313,2.589445,1.433697,1.931403,1.283886,2.917832,2.631574,1.617168,0.894432,1.812550,0.291548,2.827033,1.265502,2.791608
Acanthurus_monroviae,1.923572,2.533076,3.116254,1.342418,1.080893,2.043106,1.603419,2.511608,1.511930,1.735228,1.926342,0.000000,2.904503,1.710897,1.214064,2.234325,1.925095,0.744228,1.064368,1.468258,1.684041,1.432102,2.028814,1.646503,2.197809,2.456889,0.922372,1.556903,1.338239,1.370086,2.849695,2.374904,3.295524,2.225049,3.240733,0.415723,2.164756,2.531703,2.886336,1.308748,2.675681,2.070293,2.887429,1.382328,2.285723,2.196771,2.652800,1.764349,1.082029
Acanthurus_nigricans,1.198261,2.600379,0.570095,3.121886,3.485814,4.339861,1.721927,4.316607,2.418686,2.150584,1.457808,2.904503,0.000000,3.378770,3.382080,3.457057,3.397224,2.770978,3.213506,1.772074,1.886801,2.303270,1.421268,2.454593,3.510345,4.433926,3.268857,1.883227,1.960886,3.156867,4.430276,2.598274,3.684490,1.070100,3.846138,2.955263,2.475884,1.811256,3.210301,2.464502,3.819601,2.617251,0.943446,1.650797,2.812619,1.345431,3.810220,1.589515,3.430495
Acanthurus_nigricauda,2.197141,1.463319,3.375049,0.415723,0.908301,1.133737,2.851462,0.970232,3.027509,3.129045,2.406362,1.710897,3.378770,0.000000,0.618484,0.696425,0.367443,1.200176,2.308752,2.248455,2.995980,2.927590,3.120260,3.144975,0.557904,1.056136,2.559391,1.660281,2.703837,0.806251,1.219819,1.350130,1.775273,2.647767,1.735306,1.811671,3.556139,2.021888,2.621167,1.149822,0.995165,3.516540,2.878485,2.447580,1.274770,2.534876,1.042252,1.852139,1.971152
Acanthurus_nigrofuscus,2.221315,1.904292,3.431228,0.494048,0.512356,1.115425,2.579380,1.329071,2.659544,2.817498,2.283183,1.214064,3.382080,0.618484,0.000000,1.160829,0.936787,0.934959,1.935439,2.006961,2.710768,2.565764,2.920341,2.787155,1.093750,1.291024,1.994446,1.713627,2.377623,0.864626,1.640668,1.735396,2.323341,2.586121,2.217279,1.378482,3.253230,2.285662,2.564727,1.046491,1.550538,3.186445,3.044361,2.180138,1.572420,2.470414,1.526869,1.925100,1.628400
Acanthurus_nubilus,2.356382,1.185897,3.337078,1.043001,1.571632,1.643272,3.227376,1.075324,3.508693,3.581348,2.444514,2.234325,3.457057,0.696425,1.160829,0.000000,0.806247,1.781986,2.948799,2.406369,3.407495,3.390560,3.462826,3.634004,0.215065,1.233039,3.027460,1.975254,3.100941,1.457768,1.021233,1.028537,1.190208,2.669412,1.061257,2.403582,4.046144,1.858254,2.250663,1.283401,0.534174,4.023829,2.888047,2.723185,0.842645,2.508121,0.437339,2.062890,2.645847
Acanthurus_olivaceus,2.214995,1.371604,3.400883,0.587658,1.090889,1.197021,2.953964,0.965062,3.144976,3.219624,2.562358,1.925095,3.397224,0.367443,0.936787,0.806247,0.000000,1.310704,2.386756,2.441446,3.088843,3.050550,3.181362,3.250527,0.617471,1.112622,2.811692,1.632952,2.836514,0.764871,1.210560,1.338047,1.671550,2.757853,1.723748,1.960471,3.618171,1.995131,2.878488,1.372373,0.931585,3.590417,2.819693,2.601103,1.382059,2.670336,1.075317,1.837573,2.031735
Acanthurus_pyroferus,1.635224,1.977458,2.953512,0.785045,0.763458,1.698617,1.789737,2.058696,1.856917,1.975655,1.950137,0.744228,2.770978,1.200176,0.934959,1.781986,1.310704,0.000000,1.197961,1.630346,1.886317,1.772887,2.101969,1.965496,1.703815,2.065597,1.662239,1.053738,1.625761,0.685830,2.398022,1.882822,2.754357,2.177859,2.780169,0.696937,2.376625,2.099112,2.936537,1.088917,2.154131,2.325574,2.526968,1.575773,1.905351,2.165188,2.194160,1.339831,1.022867
Acanthurus_tennentii,2.330847,3.118622,3.563924,1.914316,1.544021,2.346401,1.720904,2.996686,1.332855,1.549692,2.664859,1.064368,3.213506,2.308752,1.935439,2.948799,2.386756,1.197961,0.000000,2.246438,1.651221,1.357017,2.050996,1.378957,2.850842,2.943027,1.428826,1.859627,1.543206,1.637135,3.411688,3.051053,3.929599,2.853327,3.967754,0.668035,1.725293,3.113993,3.914316,2.187770,3.284901,1.605179,3.207832,1.923921,3.090750,2.918300,3.343362,2.140095,0.495711
Acanthurus_triostegus,1.147096,2.182122,1.850720,1.976291,2.188699,3.097374,1.259008,3.189413,1.746450,1.750756,0.514783,1.468258,1.772074,2.248455,2.006961,2.406369,2.441446,1.630346,2.246438,0.000000,1.503373,1.589048,1.523222,1.882848,2.478289,3.224735,1.767774,1.430551,1.159763,2.178411,3.350602,1.992648,3.124883,0.863148,3.089024,1.724329,2.300059,1.749426,2.065253,1.137253,2.906665,2.308728,1.962210,0.552285,1.921018,0.806229,2.819055,1.313968,2.393340
