,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Naso_annulatus,3.977739,2.712821,2.133724,1.056433,2.812948,1.154107,4.296859,1.376606,4.238668,4.529810,1.971130,1.457207,2.918802,1.540810,2.496916,2.826005,1.334248,4.092490,2.078401,1.321579,3.778016,2.140084,2.998239,0.981456,0.741387,2.084571,3.224913,1.437299,0.000000,1.262801,0.936245,1.840115,2.261342,1.989476,2.433645,2.338805,1.735201,1.233792,3.335903,3.704141,2.904844,1.382723,2.261558,1.091414,2.955508,2.757607,3.536954
Naso_brachycentron,4.892224,3.479627,2.194815,1.831383,3.563111,1.426250,5.014009,1.579992,5.133757,5.227560,2.619840,2.548220,3.802644,1.839371,3.356529,3.168952,2.508069,4.783503,2.496312,2.242305,4.492654,3.286004,3.666665,1.792098,1.334833,2.503902,4.207348,2.368045,1.262801,0.000000,0.460802,2.115656,1.759082,2.558326,3.492433,2.829529,1.911590,1.884765,4.139785,4.755080,3.809191,0.897817,3.248050,1.703151,3.819015,3.850297,4.174974
Naso_brevirostris,4.462294,3.053900,2.147365,1.380579,3.157367,1.180133,4.631344,1.506181,4.705631,4.860585,2.246124,2.111317,3.385525,1.568076,2.905351,2.872490,2.144298,4.410459,2.141853,1.809864,4.117042,2.881935,3.313332,1.384245,0.971104,2.311869,3.762052,2.037037,0.936245,0.460802,0.000000,1.893024,1.738942,2.323228,3.124900,2.696857,1.707177,1.513300,3.731111,4.307005,3.391238,0.867198,2.821223,1.288417,3.401349,3.428493,3.798070
Naso_caesius,4.125697,3.374985,0.926185,2.019261,3.600052,1.189166,5.282128,1.070407,4.618238,5.634743,3.298315,1.991125,2.956518,2.546273,2.912527,4.054906,1.821373,5.158528,3.184314,2.016594,4.899481,2.285913,4.298495,2.400363,2.123942,0.614755,3.596657,1.158682,1.840115,2.115656,1.893024,0.000000,3.304433,0.738179,2.115622,1.356556,0.483777,1.213775,4.086900,4.076106,2.595285,2.583379,3.071494,1.713372,3.895305,3.718189,4.539994
Naso_fageni,4.582822,3.018517,3.608674,2.137012,2.958597,2.276481,4.170365,3.024398,4.642573,4.376678,2.264881,3.124430,3.712111,1.369986,3.243637,2.085465,3.417623,3.938826,1.774382,2.476269,3.750639,3.845025,3.000463,2.002900,2.259453,3.791703,4.047271,3.364968,2.261342,1.759082,1.738942,3.304433,0.000000,3.683061,4.200065,4.039866,2.959661,2.520419,3.504548,4.657481,4.018218,0.970678,3.085850,2.036131,3.364121,3.907252,3.326115
Naso_hexacanthus,3.926329,3.414248,1.067007,2.223418,3.621529,1.420813,5.312748,1.207938,4.466689,5.681667,3.471285,1.940518,2.766100,2.714478,2.922802,4.265238,1.596026,5.212851,3.411290,2.050508,4.961559,1.929257,4.402826,2.574451,2.423114,0.455994,3.445845,0.854359,1.989476,2.558326,2.323228,0.738179,3.683061,0.000000,1.604009,0.805026,0.918753,1.335946,4.054247,3.869969,2.350781,2.933810,2.988510,1.920289,3.895000,3.608034,4.631617
Naso_lituratus,2.740554,2.709499,2.639067,2.272725,2.916703,2.323296,4.403904,2.483080,3.293793,4.784909,3.151551,1.458271,1.817786,2.935334,2.156472,3.990389,1.288628,4.367140,3.256936,1.833314,4.142091,0.672738,3.789813,2.571206,2.787174,1.961135,2.272571,1.187359,2.433645,3.492433,3.124900,2.115622,4.200065,1.604009,0.000000,2.020633,2.237116,1.814184,3.162412,2.522516,1.340955,3.565903,2.146253,2.203777,3.028089,2.550465,3.918138
Naso_minor,4.474245,4.033438,1.030122,2.809537,4.197348,1.805037,5.892900,1.285917,5.023392,6.253712,4.020528,2.551529,3.323299,3.106812,3.587750,4.794410,2.038170,5.788880,3.968749,2.627648,5.537186,2.420319,4.946081,3.075314,2.890117,0.898299,4.036915,1.408021,2.338805,2.829529,2.696857,1.356556,4.039866,0.805026,2.020633,0.000000,1.424732,1.926449,4.620990,4.434171,2.942544,3.245118,3.534433,2.477122,4.476474,4.136890,5.221690
Naso_tonganus,4.054236,3.246362,1.010050,1.898760,3.436480,0.824348,5.160062,1.018005,4.528803,5.524442,3.180213,2.049397,2.855766,2.205153,2.861123,3.833792,1.940213,5.034529,2.975262,1.884411,4.793768,2.364607,4.177507,2.271339,2.102257,0.954443,3.565914,1.272991,1.735201,1.911590,1.707177,0.483777,2.959661,0.918753,2.237116,1.424732,0.000000,1.005659,3.944319,4.094491,2.591457,2.286183,2.973736,1.487559,3.805959,3.751338,4.393584
Naso_unicornis,3.249095,2.295340,1.862200,1.024438,2.466348,0.680389,4.185959,1.461510,3.651067,4.548290,2.277547,1.247667,2.068125,1.460969,1.959501,2.953350,1.390004,4.059804,2.098616,0.888045,3.820255,1.685051,3.221338,1.431488,1.610214,1.587523,2.683312,0.989399,1.233792,1.884765,1.513300,1.213775,2.520419,1.335946,1.814184,1.926449,1.005659,0.000000,2.977071,3.240138,1.967227,1.910911,1.984442,0.603499,2.823133,2.838598,3.433326
Naso_vlamingii,1.556174,0.776803,4.821946,2.444088,0.587742,3.496045,1.395895,4.339594,1.265027,1.897706,1.935928,2.486967,1.698228,2.585859,1.327199,1.882900,3.143391,1.432197,1.861673,2.183319,1.420671,2.619044,1.596613,2.488385,3.327079,4.388620,1.196456,3.408008,3.335903,4.139785,3.731111,4.086900,3.504548,4.054247,3.162412,4.620990,3.944319,2.977071,0.000000,1.607902,2.309878,3.568662,1.205772,2.648371,0.760093,1.827801,1.024892
Paracanthurus_hepatus,1.106844,1.736353,4.832509,2.937544,1.876594,3.885798,2.420815,4.481791,1.200552,2.817139,2.809151,2.386730,1.598195,3.520459,1.545611,3.275158,2.910224,2.527317,2.996846,2.553512,2.438562,2.080182,2.668986,3.089310,3.723000,4.203437,0.668007,3.233353,3.704141,4.755080,4.307005,4.076106,4.657481,3.869969,2.522516,4.434171,4.094491,3.240138,1.607902,0.000000,1.809997,4.434629,1.631557,3.162722,1.632304,1.571159,2.380167
Prionurus_laticlavius,1.630839,1.904808,3.349136,2.248908,2.145711,2.605409,3.618417,3.197155,2.250493,4.087510,2.912981,1.718536,0.714934,2.770991,1.393988,3.470283,2.119574,3.647440,2.822232,1.750142,3.515269,1.271461,3.360233,2.635188,3.119828,2.717368,1.405445,1.994703,2.904844,3.809191,3.391238,2.595285,4.018218,2.350781,1.340955,2.942544,2.591457,1.967227,2.309878,1.809997,0.000000,3.664986,1.705617,2.173162,2.420894,2.434388,3.170547
Prionurus_microlepidotus,4.495959,2.989887,2.805627,1.620791,2.995923,1.573500,4.382322,2.143368,4.651626,4.595079,2.117527,2.522870,3.491637,1.177475,3.035223,2.430230,2.651295,4.148178,1.860109,2.003200,3.891746,3.254741,3.068797,1.471069,1.485843,3.006867,3.856270,2.602505,1.382723,0.897817,0.867198,2.583379,0.970678,2.933810,3.565903,3.245118,2.286183,1.910911,3.568662,4.434629,3.664986,0.000000,2.835446,1.510716,3.311441,3.558555,3.538683
Zebrasoma_desjardinii,1.900730,0.802060,3.757428,1.483982,0.891873,2.530690,2.370577,3.244301,2.014646,2.742751,1.425717,1.339530,1.306896,1.938854,0.777994,2.019572,1.944626,2.287477,1.543127,1.135391,2.068918,1.543224,1.735723,1.555696,2.337698,3.312287,1.111559,2.265888,2.261558,3.248050,2.821223,3.071494,3.085850,2.988510,2.146253,3.534433,2.973736,1.984442,1.205772,1.631557,1.705617,2.835446,0.000000,1.724949,0.970223,1.245325,1.804949
Zebrasoma_flavescens,3.200858,1.957746,2.329222,0.561793,2.093023,0.921495,3.765384,1.804572,3.494936,4.100021,1.746656,1.254150,2.103116,0.991022,1.760582,2.375970,1.588986,3.611119,1.520234,0.642982,3.365505,1.901723,2.715889,0.944181,1.331311,2.133901,2.574583,1.450628,1.091414,1.703151,1.288417,1.713372,2.036131,1.920289,2.203777,2.477122,1.487559,0.603499,2.648371,3.162722,2.173162,1.510716,1.724949,0.000000,2.453151,2.612157,2.970579
Zebrasoma_gemmatum,2.015318,0.805183,4.620561,2.106951,0.763904,3.340035,1.452744,4.080197,1.792514,1.797349,1.401291,2.107929,1.952407,2.499741,1.193889,1.693571,2.765837,1.353756,1.617749,1.954376,1.127971,2.402040,1.076641,2.068171,2.843154,4.185164,1.293865,3.161093,2.955508,3.819015,3.401349,3.895305,3.364121,3.895000,3.028089,4.476474,3.805959,2.823133,0.760093,1.632304,2.420894,3.311441,0.970223,2.453151,0.000000,1.211816,0.967105
Zebrasoma_scopas,2.440163,1.693347,4.376422,2.185567,1.793369,3.375785,2.380602,3.834288,2.401967,2.565247,1.759255,1.727987,2.250161,2.937989,1.557577,2.583713,2.188494,2.276575,2.305424,2.025544,1.962173,1.895974,1.759372,2.109914,2.644985,3.863579,1.528942,2.788195,2.757607,3.850297,3.428493,3.718189,3.907252,3.608034,2.550465,4.136890,3.751338,2.838598,1.827801,1.571159,2.434388,3.558555,1.245325,2.612157,1.211816,0.000000,2.098849
Zebrasoma_veliferum,2.515493,1.311228,5.266335,2.659276,1.123874,3.871006,0.872724,4.708910,2.102148,1.211872,1.706054,2.926695,2.617402,2.776101,1.913108,1.324436,3.607983,0.703525,1.706266,2.615971,0.667802,3.313474,0.962282,2.574370,3.358905,4.907628,2.059124,3.946144,3.536954,4.174974,3.798070,4.539994,3.326115,4.631617,3.918138,5.221690,4.393584,3.433326,1.024892,2.380167,3.170547,3.538683,1.804949,2.970579,0.967105,2.098849,0.000000
