,Acanthurus_achilles,Acanthurus_bariene,Acanthurus_blochii,Acanthurus_chirurgus,Acanthurus_dussumieri,Acanthurus_guttatus,Acanthurus_japonicus,Acanthurus_leucocheilus,Acanthurus_leucosternon,Acanthurus_lineatus,Acanthurus_mata,Acanthurus_monroviae,Acanthurus_nigricans,Acanthurus_nigricauda,Acanthurus_nigrofuscus,Acanthurus_nubilus,Acanthurus_olivaceus,Acanthurus_pyroferus,Acanthurus_tennentii,Acanthurus_xanthopterus,Ctenochaetus_binotatus,Ctenochaetus_cyanocheilus,Ctenochaetus_flavicauda,Ctenochaetus_hawaiiensis,Ctenochaetus_striatus,Ctenochaetus_strigosus,Ctenochaetus_tominiensis,Ctenochaetus_truncatus,Naso_annulatus,Naso_brachycentron,Naso_brevirostris,Naso_caesius,Naso_fageni,Naso_hexacanthus,Naso_lituratus,Naso_minor,Naso_tonganus,Naso_unicornis,Naso_vlamingii,Paracanthurus_hepatus,Prionurus_laticlavius,Prionurus_microlepidotus,Zebrasoma_desjardinii,Zebrasoma_flavescens,Zebrasoma_gemmatum,Zebrasoma_scopas,Zebrasoma_veliferum
Ctenochaetus_binotatus,1.866398,0.865248,2.174339,1.623568,1.020615,1.672715,2.158207,1.282738,0.676340,2.810031,1.767756,0.866458,1.491121,1.530417,1.778223,2.515097,0.803393,2.116058,2.697947,2.531611,0.000000,2.148008,0.886216,2.875151,2.025681,2.571749,1.600085,2.678252,2.805158,1.034827,0.827721,1.135600,1.213715,1.903750,0.854498,2.331163,2.127437,2.070814,1.959612,1.827972,2.041537,1.439407,3.200613,1.781270,1.964180,1.814581,2.401374
Ctenochaetus_cyanocheilus,2.520748,1.459581,3.831313,1.969785,2.107635,3.702100,2.540984,1.267920,2.635802,1.012606,1.220318,1.408497,0.716168,0.621340,2.871157,0.854983,2.053182,3.818517,0.756011,0.446390,2.148008,0.000000,1.348752,1.046923,1.403693,0.659392,3.511733,2.988053,3.259513,2.956199,2.363274,1.500766,2.950705,3.350757,2.280179,4.140823,1.814581,1.491658,0.918933,3.879873,3.636997,2.786866,1.122991,2.815721,3.797084,3.633228,0.621360
Ctenochaetus_flavicauda,1.814482,0.715761,2.916521,1.595922,1.001385,2.536705,2.145792,0.900412,1.455458,1.962977,1.049667,0.500491,0.741761,0.780184,2.153118,1.679374,1.116515,2.875222,1.913885,1.699092,0.886216,1.348752,0.000000,2.038476,1.721904,1.851442,2.446069,2.751513,2.982821,1.724500,1.439248,1.044199,1.866792,2.515245,1.219771,3.146023,1.935408,1.596535,1.197717,2.704690,2.744658,2.019866,2.338742,2.117476,2.771240,2.605448,1.569962
Ctenochaetus_hawaiiensis,3.368245,2.248050,4.496740,2.392090,2.860944,4.387150,2.659719,1.863600,3.463375,1.283164,1.941624,2.287016,1.650195,1.494669,3.290676,1.339485,2.658648,4.489474,0.542608,0.943081,2.875151,1.046923,2.038476,0.000000,2.059288,0.960318,4.317307,3.159257,3.526731,3.481010,3.162349,2.313508,3.482605,3.921467,3.163739,4.859224,2.244703,1.520049,1.719499,4.587006,4.270459,3.535933,0.853400,3.210414,4.482180,4.296436,1.243136
Ctenochaetus_striatus,3.068709,1.181288,2.861022,1.118513,2.546781,3.074335,1.866947,0.976881,2.424240,2.387983,2.234363,1.638648,1.409241,1.222703,1.980998,2.216640,1.546298,2.879951,1.578945,1.789493,2.025681,1.403693,1.721904,2.059288,0.000000,1.239133,2.842419,1.964476,2.098275,2.614069,1.722827,0.902635,2.362902,2.371822,2.360438,3.245506,0.623705,1.316660,2.028924,3.261338,2.663269,1.832681,2.359217,1.947797,2.958135,2.811173,1.975536
Ctenochaetus_strigosus,3.142602,1.775402,3.965123,1.941971,2.704019,3.990335,2.449487,1.444240,3.077193,1.423190,1.879554,1.918201,1.281925,1.100974,2.901259,1.380214,2.283741,3.969225,0.424583,0.796299,2.571749,0.659392,1.851442,0.960318,1.239133,0.000000,3.808674,2.769010,3.045716,3.273731,2.633014,1.710590,3.174290,3.434034,2.802026,4.330688,1.584286,1.370105,1.566265,4.181869,3.754609,2.931300,1.161101,2.838763,3.997856,3.831242,1.158737
Ctenochaetus_tominiensis,2.799428,2.080058,1.094079,2.392934,2.326742,0.680633,2.858541,2.498139,1.179676,4.254451,3.227942,2.249859,2.881757,2.910855,1.972971,3.958097,1.762182,1.011475,4.034277,3.921178,1.600085,3.511733,2.446069,4.317307,2.842419,3.808674,0.000000,3.018276,2.897003,1.502769,1.178378,2.099727,1.401676,1.424247,1.777226,0.933240,2.836337,3.245173,3.375116,0.672597,1.177794,1.131016,4.625080,2.053950,0.794824,0.834837,3.818812
Ctenochaetus_truncatus,4.401751,2.268904,2.379731,1.182754,3.586279,2.878897,0.828399,1.951864,3.117462,3.972586,3.668984,2.903486,2.923502,2.688775,1.127718,3.805428,1.876863,2.431687,2.884521,3.382844,2.678252,2.988053,2.751513,3.159257,1.964476,2.769010,3.018276,0.000000,0.466289,2.456454,2.312481,2.132693,2.016592,1.721038,3.416111,2.896791,1.349231,1.688799,3.606174,3.097159,2.127727,2.041314,3.826133,1.073401,2.606435,2.442826,3.591615
Naso_annulatus,4.530777,2.428606,2.149319,1.405391,3.755112,2.790717,1.225404,2.193169,3.159054,4.263002,3.909978,3.070910,3.149083,2.932467,1.165664,4.083792,2.021881,2.216539,3.209213,3.666605,2.805158,3.259513,2.982821,3.526731,2.098275,3.045716,2.897003,0.466289,0.000000,2.558365,2.317199,2.254139,2.067195,1.555147,3.504105,2.670290,1.516172,2.070525,3.845448,2.993660,1.918163,1.926253,4.145262,1.151599,2.433909,2.296029,3.862878
Naso_brachycentron,2.761558,1.643386,1.734161,1.777184,1.884789,1.135583,1.939300,1.846272,1.279941,3.678589,2.697655,1.866973,2.395414,2.357235,1.393449,3.401304,1.069303,1.665405,3.351768,3.357963,1.034827,2.956199,1.724500,3.481010,2.614069,3.273731,1.502769,2.456454,2.558365,0.000000,1.277330,1.839535,0.531641,1.458315,1.768447,1.900163,2.467418,2.359033,2.905169,1.331642,1.591981,1.537604,3.975974,1.410884,1.484185,1.309047,3.284247
Naso_brevirostris,2.351555,0.924751,1.581114,1.381828,1.714870,1.435098,2.043282,1.342301,0.903044,3.180256,2.293310,1.254090,1.784658,1.772448,1.421780,2.896921,0.759340,1.546350,2.859173,2.787430,0.827721,2.363274,1.439248,3.162349,1.722827,2.633014,1.178378,2.312481,2.317199,1.277330,0.000000,0.925903,1.108754,1.349243,1.259037,1.799745,1.780798,2.148299,2.369452,1.596448,1.453960,0.648507,3.483679,1.459503,1.481714,1.351249,2.732006
Naso_caesius,2.368566,0.348489,2.347465,0.996764,1.748196,2.324135,1.815742,0.607972,1.532767,2.410083,1.792900,0.898785,1.063995,0.973304,1.644974,2.155547,0.827715,2.337016,1.960117,1.937076,1.135600,1.500766,1.044199,2.313508,0.902635,1.710590,2.099727,2.132693,2.254139,1.839535,0.925903,0.000000,1.685349,1.927940,1.513392,2.656980,1.139727,1.465008,1.740356,2.503149,2.168119,1.286695,2.619231,1.630034,2.333504,2.181835,1.955524
Naso_fageni,3.044289,1.582751,1.341850,1.461715,2.196439,1.071512,1.628551,1.733954,1.458560,3.776315,2.890270,1.966245,2.442621,2.364166,0.906664,3.506763,0.910054,1.294422,3.291252,3.378967,1.213715,2.950705,1.866792,3.482605,2.362902,3.174290,1.401676,2.016592,2.067195,0.531641,1.108754,1.685349,0.000000,0.947758,1.974643,1.625726,2.139441,2.209149,3.035120,1.302714,1.152247,1.163273,4.004609,0.944819,1.196193,0.992562,3.357920
Naso_hexacanthus,3.647600,1.997609,0.695499,1.574963,2.915044,1.259758,1.762049,2.113650,1.998964,4.278890,3.509268,2.502382,2.917020,2.810369,0.783694,4.021414,1.416480,0.726078,3.628093,3.796932,1.903750,3.350757,2.515245,3.921467,2.371822,3.434034,1.424247,1.721038,1.555147,1.458315,1.349243,1.927940,0.947758,0.000000,2.532693,1.191013,2.061511,2.527893,3.573658,1.448396,0.429873,0.889922,4.429815,0.887752,0.887719,0.740887,3.835327
Naso_lituratus,1.115975,1.306357,2.638878,2.310160,0.683880,2.074999,2.955696,1.823014,0.647030,2.733294,1.578871,0.900006,1.565661,1.735773,2.546555,2.428490,1.572037,2.574232,2.969501,2.587572,0.854498,2.280179,1.219771,3.163739,2.360438,2.802026,1.777226,3.416111,3.504105,1.768447,1.259037,1.513392,1.974643,2.532693,0.000000,2.673670,2.647323,2.688680,1.796781,2.152148,2.571054,1.875289,3.269886,2.561445,2.397102,2.304611,2.355636
Naso_minor,3.725055,2.695897,0.521287,2.645182,3.185060,0.887795,2.926939,2.997346,2.059283,4.978174,4.030478,3.013781,3.581899,3.555709,1.947726,4.693133,2.226594,0.466256,4.558241,4.574116,2.331163,4.140823,3.146023,4.859224,3.245506,4.330688,0.933240,2.896791,2.670290,1.900163,1.799745,2.656980,1.625726,1.191013,2.673670,0.000000,3.084845,3.591096,4.150005,0.862948,0.769675,1.419452,5.259447,2.048374,0.429891,0.634208,4.531094
Naso_tonganus,3.476067,1.380042,2.638540,0.734547,2.822822,2.954322,1.343683,1.047826,2.577446,2.824136,2.637434,1.964407,1.817587,1.588492,1.562041,2.659197,1.454071,2.669253,1.827919,2.210422,2.127437,1.814581,1.935408,2.244703,0.623705,1.584286,2.836337,1.349231,1.516172,2.467418,1.780798,1.139727,2.139441,2.061511,2.647323,3.084845,0.000000,1.096243,2.482131,3.160521,2.411452,1.751567,2.721482,1.516134,2.782878,2.621986,2.424427
Naso_unicornis,3.376356,1.452605,3.168158,0.991205,2.593220,3.209838,1.151501,0.906166,2.700019,2.379728,2.269159,1.888186,1.607235,1.337161,1.827860,2.241971,1.504553,3.173292,1.342446,1.835692,2.070814,1.491658,1.596535,1.520049,1.316660,1.370105,3.245173,1.688799,2.070525,2.359033,2.148299,1.465008,2.209149,2.527893,2.688680,3.591096,1.096243,0.000000,2.173534,3.432398,2.919044,2.352286,2.231075,1.739490,3.209034,3.013373,2.053505
Naso_vlamingii,1.703644,1.581548,3.941787,2.465438,1.501734,3.606912,3.079548,1.673880,2.316589,0.938432,0.399544,1.142446,0.701309,0.919766,3.219165,0.635777,2.215495,3.907156,1.620247,0.964144,1.959612,0.918933,1.197717,1.719499,2.028924,1.566265,3.375116,3.606174,3.845448,2.905169,2.369452,1.740356,3.035120,3.573658,1.796781,4.150005,2.482131,2.173534,0.000000,3.748779,3.786351,2.927751,1.549309,3.180090,3.818492,3.673390,0.613107
Paracanthurus_hepatus,3.153730,2.430796,1.095984,2.605800,2.576532,0.233128,2.887629,2.783875,1.509413,4.618472,3.558437,2.616997,3.253439,3.263120,1.995921,4.322304,1.963190,0.991853,4.358871,4.293966,1.827972,3.879873,2.704690,4.587006,3.261338,4.181869,0.672597,3.097159,2.993660,1.331642,1.596448,2.503149,1.302714,1.448396,2.152148,0.862948,3.160521,3.432398,3.748779,0.000000,1.188740,1.538848,4.976367,2.076004,0.679699,0.726078,4.194027
Prionurus_laticlavius,3.681735,2.235171,0.265812,1.958021,3.015873,1.047808,2.189778,2.429490,1.993545,4.540208,3.705161,2.678639,3.155126,3.078054,1.209153,4.271778,1.695901,0.303961,3.967282,4.081178,2.041537,3.636997,2.744658,4.270459,2.663269,3.754609,1.177794,2.127727,1.918163,1.591981,1.453960,2.168119,1.152247,0.429873,2.571054,0.769675,2.411452,2.919044,3.786351,1.188740,0.000000,0.966067,4.736952,1.312608,0.536700,0.472061,4.091766
Prionurus_microlepidotus,2.962994,1.412048,1.100219,1.415389,2.361699,1.378647,1.998637,1.688448,1.447826,3.680445,2.894084,1.857769,2.299217,2.241175,1.194927,3.412793,1.101819,1.100214,3.187177,3.223595,1.439407,2.786866,2.019866,3.535933,1.832681,2.931300,1.131016,2.041314,1.926253,1.537604,0.648507,1.286695,1.163273,0.889922,1.875289,1.419452,1.751567,2.352286,2.927751,1.538848,0.966067,0.000000,3.902479,1.265612,1.157964,1.049639,3.225252
Zebrasoma_desjardinii,3.233690,2.572566,4.939720,2.958869,2.973250,4.797308,3.378940,2.325071,3.692754,0.744697,1.859214,2.450761,1.763398,1.719431,3.885309,0.964144,3.128257,4.928697,0.950870,0.716189,3.200613,1.122991,2.338742,0.853400,2.359217,1.161101,4.625080,3.826133,4.145262,3.975974,3.483679,2.619231,4.004609,4.429815,3.269886,5.259447,2.721482,2.231075,1.549309,4.976367,4.736952,3.902479,0.000000,3.817568,4.908785,4.739787,0.944573
Zebrasoma_flavescens,3.615366,1.666814,1.577748,0.901056,2.768674,1.848914,0.879282,1.562083,2.162177,3.761748,3.142334,2.249562,2.502817,2.333828,0.104262,3.532852,1.053327,1.594871,2.966233,3.251748,1.781270,2.815721,2.117476,3.210414,1.947797,2.838763,2.053950,1.073401,1.151599,1.410884,1.459503,1.630034,0.944819,0.887752,2.561445,2.048374,1.516134,1.739490,3.180090,2.076004,1.312608,1.265612,3.817568,0.000000,1.684349,1.492752,3.343963
Zebrasoma_gemmatum,3.477512,2.345495,0.417047,2.287036,2.861426,0.594396,2.555144,2.628264,1.772746,4.635550,3.691180,2.679635,3.240930,3.205187,1.588017,4.351799,1.832951,0.312785,4.203398,4.232177,1.964180,3.797084,2.771240,4.482180,2.958135,3.997856,0.794824,2.606435,2.433909,1.484185,1.481714,2.333504,1.196193,0.887719,2.397102,0.429891,2.782878,3.209034,3.818492,0.679699,0.536700,1.157964,4.908785,1.684349,0.000000,0.208523,4.192127
Zebrasoma_scopas,3.398454,2.184724,0.466289,2.101254,2.741118,0.575800,2.358244,2.448399,1.684701,4.478102,3.546999,2.537956,3.086302,3.041609,1.398769,4.196656,1.645441,0.375936,4.026403,4.069812,1.814581,3.633228,2.605448,4.296436,2.811173,3.831242,0.834837,2.442826,2.296029,1.309047,1.351249,2.181835,0.992562,0.740887,2.304611,0.634208,2.621986,3.013373,3.673390,0.726078,0.472061,1.049639,4.739787,1.492752,0.208523,0.000000,4.036234
Zebrasoma_veliferum,2.307094,1.860353,4.269237,2.537206,2.080068,4.034177,3.100404,1.783751,2.826122,0.456693,0.964123,1.593085,0.951710,1.027212,3.395580,0.244981,2.487151,4.246253,1.153989,0.404069,2.401374,0.621360,1.569962,1.243136,1.975536,1.158737,3.818812,3.591615,3.862878,3.284247,2.732006,1.955524,3.357920,3.835327,2.355636,4.531094,2.424427,2.053505,0.613107,4.194027,4.091766,3.225252,0.944573,3.343963,4.192127,4.036234,0.000000
